"oid","typname","typnamespace","typtype","typrelid","typnotnull","typbasetype","typelem","typreceive","typcategory"
1022,"_float8",11,"b",0,"False",0,701,2400,"A"
719,"_circle",11,"b",0,"False",0,718,2400,"A"
791,"_money",11,"b",0,"False",0,790,2400,"A"
1040,"_macaddr",11,"b",0,"False",0,829,2400,"A"
1041,"_inet",11,"b",0,"False",0,869,2400,"A"
651,"_cidr",11,"b",0,"False",0,650,2400,"A"
775,"_macaddr8",11,"b",0,"False",0,774,2400,"A"
1034,"_aclitem",11,"b",0,"False",0,1033,2400,"A"
1014,"_bpchar",11,"b",0,"False",0,1042,2400,"A"
1015,"_varchar",11,"b",0,"False",0,1043,2400,"A"
1182,"_date",11,"b",0,"False",0,1082,2400,"A"
1183,"_time",11,"b",0,"False",0,1083,2400,"A"
1115,"_timestamp",11,"b",0,"False",0,1114,2400,"A"
1185,"_timestamptz",11,"b",0,"False",0,1184,2400,"A"
1187,"_interval",11,"b",0,"False",0,1186,2400,"A"
1270,"_timetz",11,"b",0,"False",0,1266,2400,"A"
1561,"_bit",11,"b",0,"False",0,1560,2400,"A"
1563,"_varbit",11,"b",0,"False",0,1562,2400,"A"
1231,"_numeric",11,"b",0,"False",0,1700,2400,"A"
2201,"_refcursor",11,"b",0,"False",0,1790,2400,"A"
2207,"_regprocedure",11,"b",0,"False",0,2202,2400,"A"
2208,"_regoper",11,"b",0,"False",0,2203,2400,"A"
2209,"_regoperator",11,"b",0,"False",0,2204,2400,"A"
2210,"_regclass",11,"b",0,"False",0,2205,2400,"A"
4192,"_regcollation",11,"b",0,"False",0,4191,2400,"A"
2211,"_regtype",11,"b",0,"False",0,2206,2400,"A"
4097,"_regrole",11,"b",0,"False",0,4096,2400,"A"
4090,"_regnamespace",11,"b",0,"False",0,4089,2400,"A"
2951,"_uuid",11,"b",0,"False",0,2950,2400,"A"
3221,"_pg_lsn",11,"b",0,"False",0,3220,2400,"A"
3643,"_tsvector",11,"b",0,"False",0,3614,2400,"A"
3644,"_gtsvector",11,"b",0,"False",0,3642,2400,"A"
3645,"_tsquery",11,"b",0,"False",0,3615,2400,"A"
3735,"_regconfig",11,"b",0,"False",0,3734,2400,"A"
3770,"_regdictionary",11,"b",0,"False",0,3769,2400,"A"
3807,"_jsonb",11,"b",0,"False",0,3802,2400,"A"
4073,"_jsonpath",11,"b",0,"False",0,4072,2400,"A"
2949,"_txid_snapshot",11,"b",0,"False",0,2970,2400,"A"
5039,"_pg_snapshot",11,"b",0,"False",0,5038,2400,"A"
3905,"_int4range",11,"b",0,"False",0,3904,2400,"A"
3907,"_numrange",11,"b",0,"False",0,3906,2400,"A"
3909,"_tsrange",11,"b",0,"False",0,3908,2400,"A"
3911,"_tstzrange",11,"b",0,"False",0,3910,2400,"A"
3913,"_daterange",11,"b",0,"False",0,3912,2400,"A"
3927,"_int8range",11,"b",0,"False",0,3926,2400,"A"
13170,"_cardinal_number",13158,"b",0,"False",0,13171,2400,"A"
13173,"_character_data",13158,"b",0,"False",0,13174,2400,"A"
13175,"_sql_identifier",13158,"b",0,"False",0,13176,2400,"A"
13180,"_time_stamp",13158,"b",0,"False",0,13181,2400,"A"
